Planning Area,Total,No Qualification,Primary,Lower Secondary,Secondary,Post-Secondary (Non-Tertiary),Polytechnic,Professional Qualification and Other Diploma,University
Total,2948500,368100,203400,236500,544800,304000,268100,215700,807900
Ang Mo Kio,145200,23900,13400,13300,24600,13600,11100,10100,35400
Bedok,212500,26700,15100,16300,40800,20700,16000,13900,62900
Bishan,68100,6200,3100,4800,11800,6300,5500,5000,25400
Bukit Batok,105200,11800,7700,8500,19200,9900,11200,7200,29700
Bukit Merah,123000,22500,10300,11300,22400,9800,7800,7800,31100
Bukit Panjang,106800,12300,8200,8300,18900,12300,11700,8400,26500
Bukit Timah,52600,1800,1200,1200,5700,4600,2400,3600,32100
Choa Chu Kang,129500,12300,9500,12000,24700,15800,14000,9900,31500
Clementi,67500,10100,4500,5400,11200,5600,5400,4700,20700
Geylang,84800,13700,6500,6100,15800,8300,7000,6100,21300
Hougang,164200,22500,11300,15300,32900,15900,15200,10900,40000
Jurong East,64400,9700,4100,5100,12700,7900,5900,3600,15600
Jurong West,210700,26400,17600,18700,39000,24400,20600,16500,47600
Kallang,78300,13500,5500,6400,12800,6400,5100,6200,22300
Marine Parade,33000,3300,1000,2800,5600,3100,1600,2100,13400
Novena,34200,4100,2100,1700,4600,2500,2100,2200,14900
Outram,16400,3200,700,1300,2800,1800,800,1500,4400
Pasir Ris,101700,8000,4400,6500,23100,13200,12400,10000,24200
Punggol,77500,6900,3300,4800,11700,6500,10400,7200,26700
Queenstown,74800,11000,5500,5800,12700,7100,4700,5700,22300
Sembawang,58200,5000,3800,4500,11600,6000,6800,4700,15700
Sengkang,160100,17700,9600,13900,26900,15100,17200,12800,46900
Serangoon,98600,10600,5000,6300,17900,10700,8900,6500,32800
Tampines,206200,24100,12800,16700,44500,21900,22000,13900,50200
Tanglin,13100,200,200,0,1000,1400,400,500,9500
Toa Payoh,98300,15000,8400,7700,18100,9000,7600,6900,25600
Woodlands,177600,19600,13900,16900,37000,23800,18100,14000,34400
Yishun,156900,23000,13400,13800,30500,18400,14600,12200,31000
Others,29000,3000,1100,1200,4600,2100,1700,1700,13700
